Número;Solicitante;Estado;Prioridad;Asignado a;Abierto;Actualizado;Resuelto;Tiempo de trabajo;Horas snow;Horas Real;Horas Trabajo;Mes;Año;Actualizado definitivo;Cerrado;Abierto definitivo;Cerrado definitivo;Resuelto definitivo;Mes definitivo desde Cerrado definitivo
"INC2287911";"Solicitante 16";"Cancelado";"3 - Moderada";"Asignado 1";"09/01/2025 22:42";"10/01/2025 14:19";"";0;0;;0;"ene";2025;2025-01-10 14:19:00,000;"10/01/2025 14:19";2025-01-09 22:42:00,000;2025-01-10 14:19:00,000;;"enero"
"INC2291147";"Solicitante 23";"Cancelado";"3 - Moderada";"Asignado 5";"13/01/2025 11:06";"14/02/2025 10:34";"";18000;5;;5;"feb";2025;2025-02-14 10:34:00,000;"14/02/2025 10:34";2025-01-13 11:06:00,000;2025-02-14 10:34:00,000;;"febrero"
"INC2291365";"Solicitante 22";"Cancelado";"3 - Moderada";"Asignado 1";"13/01/2025";"13/01/2025 14:27";"";300;0,08;;0,08;"feb";2024;2025-01-13 14:27:00,000;"13/01/2025 14:27";2025-01-13 00:00:00,000;2025-01-13 14:27:00,000;;"enero"
"INC2292685";"Solicitante 18";"Cancelado";"5 - Muy Baja";"Asignado 3";"14/01/2025 16:25";"15/01/2025 8:48";"";60;0,02;;0,02;"ene";2025;2025-01-15 08:48:00,000;"15/01/2025 8:48";2025-01-14 16:25:00,000;2025-01-15 08:48:00,000;;"enero"
"INC2295268";"Solicitante 12";"Cancelado";"4 - Baja";"Asignado 4";"16/01/2025 16:53";"20/01/2025 10:43";"";603;0,17;;0,17;"ene";2025;2025-01-20 10:43:00,000;"20/01/2025 10:43";2025-01-16 16:53:00,000;2025-01-20 10:43:00,000;;"enero"
"INC2298550";"Solicitante 31";"Cancelado";"4 - Baja";"Asignado 4";"20/01/2025 11:18";"31/01/2025 11:39";"";5400;1,5;;1,5;"ene";2025;2025-01-31 11:39:00,000;"31/01/2025 11:39";2025-01-20 11:18:00,000;2025-01-31 11:39:00,000;;"enero"
"INC2308575";"Solicitante 19";"Cancelado";"4 - Baja";"Asignado 3";"28/01/2025 15:34";"29/04/2025 9:13";"";22500;6,25;;6,25;"abr";2025;2025-04-29 09:13:00,000;"29/04/2025 9:13";2025-01-28 15:34:00,000;2025-04-29 09:13:00,000;;"abril"
"INC2310049";"Solicitante 3";"Cancelado";"4 - Baja";"Asignado 3";"29/01/2025 12:33";"13/02/2025 15:58";"";1800;0,5;;0,5;"feb";2025;2025-02-13 15:58:00,000;"13/02/2025 15:58";2025-01-29 12:33:00,000;2025-02-13 15:58:00,000;;"febrero"
"INC2323605";"Solicitante 4";"Cancelado";"4 - Baja";"Asignado 2";"10/02/2025 19:24";"14/04/2025 10:23";"";5400;1,5;;1,5;"abr";2025;2025-04-14 10:23:00,000;"14/04/2025 10:23";2025-02-10 19:24:00,000;2025-04-14 10:23:00,000;;"abril"
"INC2325035";"Solicitante 37";"Cancelado";"3 - Moderada";"Asignado 3";"12/02/2025 0:06";"17/02/2025 9:59";"";600;0,17;;0,17;"feb";2025;2025-02-17 09:59:00,000;"17/02/2025 9:59";2025-02-12 00:06:00,000;2025-02-17 09:59:00,000;;"febrero"
"INC2327120";"Solicitante 39";"Cancelado";"3 - Moderada";"Asignado 4";"13/02/2025 11:30";"14/02/2025 11:14";"";1368;0,38;;0,38;"feb";2025;2025-02-14 11:14:00,000;"14/02/2025 11:14";2025-02-13 11:30:00,000;2025-02-14 11:14:00,000;;"febrero"
"INC2327807";"Solicitante 6";"Cancelado";"3 - Moderada";"Asignado 4";"13/02/2025 22:09";"14/02/2025 10:21";"";300;0,08;;0,08;"2";2025;2025-02-14 10:21:00,000;"14/02/2025 10:21";2025-02-13 22:09:00,000;2025-02-14 10:21:00,000;;"febrero"
"INC2330867";"Solicitante 25";"Cancelado";"5 - Muy Baja";"Asignado 2";"17/02/2025 15:20";"18/02/2025 15:01";"";922;0,26;;0,26;"feb";2025;2025-02-18 15:01:00,000;"18/02/2025 15:01";2025-02-17 15:20:00,000;2025-02-18 15:01:00,000;;"febrero"
"INC2332500";"Solicitante 18";"Cancelado";"5 - Muy Baja";"Asignado 5";"18/02/2025 15:16";"19/02/2025 14:58";"";561;0,16;;0,16;"feb";2025;2025-02-19 14:58:00,000;"19/02/2025 14:58";2025-02-18 15:16:00,000;2025-02-19 14:58:00,000;;"febrero"
"INC2336059";"Solicitante 31";"Cancelado";"2 - Alta";"Asignado 3";"21/02/2025 8:39";"21/02/2025 8:42";"";0;0;;0;"feb";2025;2025-02-21 08:42:00,000;"21/02/2025 8:42";2025-02-21 08:39:00,000;2025-02-21 08:42:00,000;;"febrero"
"INC2336262";"Solicitante 28";"Cancelado";"3 - Moderada";"Asignado 4";"21/02/2025 11:45";"31/03/2025 9:19";"";21600;6;;6;"3";2025;2025-03-31 09:19:00,000;"31/03/2025 9:19";2025-02-21 11:45:00,000;2025-03-31 09:19:00,000;;"marzo"
"INC2338322";"Solicitante 38";"Cancelado";"5 - Muy Baja";"Asignado 5";"24/02/2025";"24/02/2025 14:00";"";0;0;;0;"feb";2025;2025-02-24 14:00:00,000;"24/02/2025 14:00";2025-02-24 00:00:00,000;2025-02-24 14:00:00,000;;"febrero"
"INC2367594";"Solicitante 18";"Cancelado";"4 - Baja";"Asignado 1";"20/03/2025 15:36";"24/03/2025 16:53";"";600;0,17;;0,17;"mar";2025;2025-03-24 16:53:00,000;"24/03/2025 16:53";2025-03-20 15:36:00,000;2025-03-24 16:53:00,000;;"marzo"
"INC2368232";"Solicitante 13";"Cancelado";"3 - Moderada";"Asignado 5";"21/03/2025 8:33";"28/03/2025 13:39";"";2400;0,67;;0,67;"mar";2025;2025-03-28 13:39:00,000;"28/03/2025 13:39";2025-03-21 08:33:00,000;2025-03-28 13:39:00,000;;"marzo"
"INC2372477";"Solicitante 35";"Cancelado";"5 - Muy Baja";"Asignado 5";"25/03/2025 11:08";"07/04/2025 9:03";"";0;0;;0;"abr";2025;2025-04-07 09:03:00,000;"07/04/2025 9:03";2025-03-25 11:08:00,000;2025-04-07 09:03:00,000;;"abril"
"INC2375259";"Solicitante 22";"Cancelado";"4 - Baja";"Asignado 4";"27/03/2025 20:26";"28/03/2025 8:55";"";0;0;;0;"mar";2025;2025-03-28 08:55:00,000;"28/03/2025 8:55";2025-03-27 20:26:00,000;2025-03-28 08:55:00,000;;"marzo"
"INC2378664";"Solicitante 25";"Cancelado";"3 - Moderada";"Asignado 2";"01/04/2025 8:51";"04/04/2025 10:09";"";1500;0,42;;0,42;"abr";2025;2025-04-04 10:09:00,000;"04/04/2025 10:09";2025-04-01 08:51:00,000;2025-04-04 10:09:00,000;;"abril"
"INC2382145";"Solicitante 23";"Cancelado";"4 - Baja";"Asignado 4";"03/04/2025 17:20";"03/04/2025 17:41";"";0;0;;0;"abr";2024;2025-04-03 17:41:00,000;"03/04/2025 17:41";2025-04-03 17:20:00,000;2025-04-03 17:41:00,000;;"abril"
"INC2387707";"Solicitante 39";"Cancelado";"4 - Baja";"Asignado 2";"09/04/2025 23:42";"10/04/2025 8:47";"";300;0,08;;0,08;"abr";2025;2025-04-10 08:47:00,000;"10/04/2025 8:47";2025-04-09 23:42:00,000;2025-04-10 08:47:00,000;;"abril"
"INC2392481";"Solicitante 38";"Cancelado";"3 - Moderada";"Asignado 4";"15/04/2025 8:53";"15/04/2025 13:08";"";1200;0,33;;0,33;"abr";2025;2025-04-15 13:08:00,000;"15/04/2025 13:08";2025-04-15 08:53:00,000;2025-04-15 13:08:00,000;;"abril"
"INC2398257";"Solicitante 36";"Cancelado";"4 - Baja";"Asignado 5";"24/04/2025 8:18";"28/04/2025 11:55";"";28800;8;;8;"may";2025;2025-04-28 11:55:00,000;"28/04/2025 11:55";2025-04-24 08:18:00,000;2025-04-28 11:55:00,000;;"abril"
"INC2402031";"Solicitante 15";"Cancelado";"2 - Alta";"Asignado 5";"28/04/2025 19:42";"13/05/2025 8:54";"";0;0;;0;"may";2025;2025-05-13 08:54:00,000;"13/05/2025 8:54";2025-04-28 19:42:00,000;2025-05-13 08:54:00,000;;"mayo"
"INC2404222";"Solicitante 34";"Cancelado";"4 - Baja";"Asignado 5";"29/04/2025 8:33";"23/05/2025 9:21";"";51960;14,43;;14,43;"may";2025;2025-05-23 09:21:00,000;"23/05/2025 9:21";2025-04-29 08:33:00,000;2025-05-23 09:21:00,000;;"mayo"
"INC2412058";"Solicitante 1";"Cancelado";"4 - Baja";"Asignado 3";"07/05/2025 10:44";"15/05/2025 9:15";"";41460;23,12;;23,12;"may";2025;2025-05-15 09:15:00,000;"07/05/2025 12:05";2025-05-07 10:44:00,000;2025-05-07 12:05:00,000;;"mayo"
"INC2413150";"Solicitante 34";"Cancelado";"3 - Moderada";"Asignado 3";"08/05/2025 12:32";"08/05/2025 12:49";"";0;0;;0;"abr";2025;2025-05-08 12:49:00,000;"08/05/2025 12:49";2025-05-08 12:32:00,000;2025-05-08 12:49:00,000;;"mayo"
"INC2005711";"Solicitante 28";"Cerrado";"3 - Moderada";"Asignado 3";"18/04/2024 11:31";"06/05/2024 14:00";"lunes, 29 de abril de 2024";18000;5;;5;"mar";2024;2024-05-06 14:00:00,000;"06/05/2024 14:00";2024-04-18 11:31:00,000;2024-05-06 14:00:00,000;;"mayo"
"INC1805800";"Solicitante 17";"Cerrado";"2 - Alta";"Asignado 4";"17/08/2023 8:18";"24/08/2023 9:49";"21/08/2023 12:10";25500;7,08;;7,08;"No cerrada";2023;2023-08-24 09:49:00,000;"24/08/2023 9:49";2023-08-17 08:18:00,000;2023-08-24 09:49:00,000;2023-08-21 12:10:00,000;"agosto"
"INC1841417";"Solicitante 3";"Cerrado";"2 - Alta";"Asignado 1";"27/09/2023 9:30";"07/11/2023 13:00";"31/10/2023 12:57";43200;12;;12;"oct";2023;2023-11-07 13:00:00,000;"07/11/2023 13:00";2023-09-27 09:30:00,000;2023-11-07 13:00:00,000;2023-10-31 12:57:00,000;"noviembre"
"INC1856547";"Solicitante 29";"Cerrado";"1 - Crítica";"Asignado 4";"16/10/2023 11:56";"26/10/2023 17:00";"19/10/2023 16:27";30600;8,5;;8,5;"oct";2023;2023-10-26 17:00:00,000;"26/10/2023 17:00";2023-10-16 11:56:00,000;2023-10-26 17:00:00,000;2023-10-19 16:27:00,000;"octubre"
"INC1856625";"Solicitante 22";"Cerrado";"2 - Alta";"Asignado 4";"16/10/2023 13:08";"26/10/2023 17:00";"19/10/2023 16:27";9000;2,5;;2,5;"oct";2023;2023-10-26 17:00:00,000;"26/10/2023 17:00";2023-10-16 13:08:00,000;2023-10-26 17:00:00,000;2023-10-19 16:27:00,000;"octubre"
"INC1858159";"Solicitante 38";"Cerrado";"5 - Muy Baja";"Asignado 5";"17/10/2023 20:41";"30/10/2023 10:00";"23/10/2023 10:23";3660;1,02;;1,02;"oct";2023;2023-10-30 10:00:00,000;"30/10/2023 10:00";2023-10-17 20:41:00,000;2023-10-30 10:00:00,000;2023-10-23 10:23:00,000;"octubre"
"INC1860796";"Solicitante 23";"Cerrado";"2 - Alta";"Asignado 5";"20/10/2023 13:07";"07/11/2023 11:00";"31/10/2023 10:02";7260;2,02;;2,02;"nov";2023;2023-11-07 11:00:00,000;"07/11/2023 11:00";2023-10-20 13:07:00,000;2023-11-07 11:00:00,000;2023-10-31 10:02:00,000;"noviembre"
"INC1869096";"Solicitante 19";"Cerrado";"1 - Crítica";"Asignado 5";"30/10/2023 11:41";"07/11/2023 17:00";"31/10/2023 16:10";5400;1,5;;1,5;"oct";2023;2023-11-07 17:00:00,000;"07/11/2023 17:00";2023-10-30 11:41:00,000;2023-11-07 17:00:00,000;2023-10-31 16:10:00,000;"noviembre"
"INC1869846";"Solicitante 17";"Cerrado";"1 - Crítica";"Asignado 1";"31/10/2023 8:35";"10/11/2023 10:00";"03/11/2023 9:54";9000;2,5;;2,5;"nov";2023;2023-11-10 10:00:00,000;"10/11/2023 10:00";2023-10-31 08:35:00,000;2023-11-10 10:00:00,000;2023-11-03 09:54:00,000;"noviembre"
"INC1882520";"Solicitante 6";"Cerrado";"5 - Muy Baja";"Asignado 2";"15/11/2023 10:48";"25/12/2023 13:00";"18/12/2023 12:05";7200;2;;2;"dic";2023;2023-12-25 13:00:00,000;"25/12/2023 13:00";2023-11-15 10:48:00,000;2023-12-25 13:00:00,000;2023-12-18 12:05:00,000;"diciembre"
"INC1915467";"Solicitante 25";"Cerrado";"5 - Muy Baja";"Asignado 3";"28/12/2023 9:31";"22/01/2024 10:00";"15/01/2024 9:42";25200;7;;7;"ene";2023;2024-01-22 10:00:00,000;"22/01/2024 10:00";2023-12-28 09:31:00,000;2024-01-22 10:00:00,000;2024-01-15 09:42:00,000;"enero"
"INC1920929";"Solicitante 40";"Cerrado";"5 - Muy Baja";"Asignado 5";"08/01/2024 20:10";"12/01/2024 17:39";"10/01/2024 16:53";3660;1,02;;1,02;"ene";2024;2024-01-12 17:39:00,000;"12/01/2024 17:39";2024-01-08 20:10:00,000;2024-01-12 17:39:00,000;2024-01-10 16:53:00,000;"enero"
"INC1922871";"Solicitante 30";"Cerrado";"5 - Muy Baja";"Asignado 1";"11/01/2024 10:06";"23/01/2024 21:00";"16/01/2024 20:24";10800;3;;3;"ene";2024;2024-01-23 21:00:00,000;"23/01/2024 21:00";2024-01-11 10:06:00,000;2024-01-23 21:00:00,000;2024-01-16 20:24:00,000;"enero"
"INC1930354";"Solicitante 4";"Cerrado";"5 - Muy Baja";"Asignado 3";"23/01/2024 13:09";"02/02/2024 13:00";"26/01/2024 12:00";19800;5,5;;5,5;"ene";2024;2024-02-02 13:00:00,000;"02/02/2024 13:00";2024-01-23 13:09:00,000;2024-02-02 13:00:00,000;2024-01-26 12:00:00,000;"febrero"
"INC1932558";"Solicitante 8";"Cerrado";"2 - Alta";"Asignado 4";"25/01/2024 16:18";"02/02/2024 12:00";"26/01/2024 11:30";2700;0,75;;0,75;"ene";2024;2024-02-02 12:00:00,000;"02/02/2024 12:00";2024-01-25 16:18:00,000;2024-02-02 12:00:00,000;2024-01-26 11:30:00,000;"febrero"
"INC1935988";"Solicitante 32";"Cerrado";"5 - Muy Baja";"Asignado 5";"31/01/2024 10:58";"01/03/2024 13:00";"23/02/2024 12:48";32400;9;;9;"feb";2024;2024-03-01 13:00:00,000;"01/03/2024 13:00";2024-01-31 10:58:00,000;2024-03-01 13:00:00,000;2024-02-23 12:48:00,000;"marzo"
"INC1949704";"Solicitante 34";"Cerrado";"5 - Muy Baja";"Asignado 1";"20/02/2024 9:30";"27/02/2024 12:00";"20/02/2024 11:51";660;0,18;;0,18;"feb";2024;2024-02-27 12:00:00,000;"27/02/2024 12:00";2024-02-20 09:30:00,000;2024-02-27 12:00:00,000;2024-02-20 11:51:00,000;"febrero"
"INC1949962";"Solicitante 26";"Cerrado";"2 - Alta";"Asignado 1";"20/02/2024 13:08";"26/03/2024 13:16";"25/03/2024 14:08";54000;15;;15;"mar";2024;2024-03-26 13:16:00,000;"26/03/2024 13:16";2024-02-20 13:08:00,000;2024-03-26 13:16:00,000;2024-03-25 14:08:00,000;"marzo"
"INC1968967";"Solicitante 3";"Cerrado";"2 - Alta";"Asignado 3";"13/03/2024 9:17";"19/03/2024 10:32";"19/03/2024 8:31";0;0;;0;"No cerrada";2024;2024-03-19 10:32:00,000;"19/03/2024 10:32";2024-03-13 09:17:00,000;2024-03-19 10:32:00,000;2024-03-19 08:31:00,000;"marzo"
"INC1976092";"Solicitante 11";"Cerrado";"5 - Muy Baja";"Asignado 4";"21/03/2024 12:59";"18/04/2024 13:00";"11/04/2024 12:22";6000;1,67;;1,67;"abr";2024;2024-04-18 13:00:00,000;"18/04/2024 13:00";2024-03-21 12:59:00,000;2024-04-18 13:00:00,000;2024-04-11 12:22:00,000;"abril"
"INC1982226";"Solicitante 4";"Cerrado";"5 - Muy Baja";"Asignado 1";"22/03/2024 10:41";"01/04/2024 12:00";"25/03/2024 10:53";2100;0,58;;0,58;"mar";2024;2024-04-01 12:00:00,000;"01/04/2024 12:00";2024-03-22 10:41:00,000;2024-04-01 12:00:00,000;2024-03-25 10:53:00,000;"abril"
"INC1985342";"Solicitante 35";"Cerrado";"5 - Muy Baja";"Asignado 5";"26/03/2024 16:48";"12/06/2024 12:00";"05/06/2024 11:50";45000;12,5;;12,5;"jun";2024;2024-06-12 12:00:00,000;"12/06/2024 12:00";2024-03-26 16:48:00,000;2024-06-12 12:00:00,000;2024-06-05 11:50:00,000;"junio"
"INC1988638";"Solicitante 18";"Cerrado";"5 - Muy Baja";"Asignado 3";"01/04/2024 11:34";"21/05/2024 18:00";"14/05/2024 17:54";53400;22,83;;22,83;"may";2024;2024-05-21 18:00:00,000;"21/05/2024 18:00";2024-04-01 11:34:00,000;2024-05-21 18:00:00,000;2024-05-14 17:54:00,000;"mayo"
"INC1992456";"Solicitante 10";"Cerrado";"5 - Muy Baja";"Asignado 1";"04/04/2024 13:34";"06/05/2024 13:00";"29/04/2024 12:45";21600;6;;6;"abr";2024;2024-05-06 13:00:00,000;"06/05/2024 13:00";2024-04-04 13:34:00,000;2024-05-06 13:00:00,000;2024-04-29 12:45:00,000;"mayo"
"INC1992609";"Solicitante 2";"Cerrado";"5 - Muy Baja";"Asignado 3";"04/04/2024 15:41";"18/04/2024 15:00";"11/04/2024 14:49";16200;4,5;;4,5;"No cerrada";2024;2024-04-18 15:00:00,000;"18/04/2024 15:00";2024-04-04 15:41:00,000;2024-04-18 15:00:00,000;2024-04-11 14:49:00,000;"abril"
"INC2003187";"Solicitante 29";"Cerrado";"5 - Muy Baja";"Asignado 2";"16/04/2024 10:28";"01/05/2024 17:00";"24/04/2024 16:45";23400;6,5;;6,5;"abr";2024;2024-05-01 17:00:00,000;"01/05/2024 17:00";2024-04-16 10:28:00,000;2024-05-01 17:00:00,000;2024-04-24 16:45:00,000;"mayo"
"INC2008750";"Solicitante 3";"Cerrado";"5 - Muy Baja";"Asignado 2";"22/04/2024 11:09";"02/05/2024 12:00";"25/04/2024 11:19";5400;1,5;;1,5;"abr";2024;2024-05-02 12:00:00,000;"02/05/2024 12:00";2024-04-22 11:09:00,000;2024-05-02 12:00:00,000;2024-04-25 11:19:00,000;"mayo"
"INC2008995";"Solicitante 16";"Cerrado";"5 - Muy Baja";"Asignado 1";"22/04/2024 14:51";"01/05/2024 14:00";"24/04/2024 13:42";12600;3,5;;3,5;"abr";2024;2024-05-01 14:00:00,000;"01/05/2024 14:00";2024-04-22 14:51:00,000;2024-05-01 14:00:00,000;2024-04-24 13:42:00,000;"mayo"
"INC2011310";"Solicitante 18";"Cerrado";"5 - Muy Baja";"Asignado 5";"24/04/2024 14:59";"06/05/2024 13:00";"29/04/2024 12:39";18000;5;;5;"abr";2023;2024-05-06 13:00:00,000;"06/05/2024 13:00";2024-04-24 14:59:00,000;2024-05-06 13:00:00,000;2024-04-29 12:39:00,000;"mayo"
"INC2031810";"Solicitante 2";"Cerrado";"5 - Muy Baja";"Asignado 2";"20/05/2024 8:07";"04/06/2024 10:00";"28/05/2024 9:35";50400;14;;14;"may";2024;2024-06-04 10:00:00,000;"04/06/2024 10:00";2024-05-20 08:07:00,000;2024-06-04 10:00:00,000;2024-05-28 09:35:00,000;"junio"
"INC2052661";"Solicitante 2";"Cerrado";"5 - Muy Baja";"Asignado 3";"05/06/2024 13:18";"08/07/2024 13:00";"01/07/2024 12:09";16200;4,5;;4,5;"jul";2024;2024-07-08 13:00:00,000;"08/07/2024 13:00";2024-06-05 13:18:00,000;2024-07-08 13:00:00,000;2024-07-01 12:09:00,000;"julio"
"INC2066535";"Solicitante 9";"Cerrado";"5 - Muy Baja";"Asignado 4";"18/06/2024 12:12";"08/07/2024 10:00";"01/07/2024 9:38";21600;6;;6;"jul";2023;2024-07-08 10:00:00,000;"08/07/2024 10:00";2024-06-18 12:12:00,000;2024-07-08 10:00:00,000;2024-07-01 09:38:00,000;"julio"
"INC2069637";"Solicitante 12";"Cerrado";"5 - Muy Baja";"Asignado 3";"20/06/2024 12:32";"18/07/2024 12:00";"11/07/2024 11:18";42000;11,67;;11,67;"jul";2024;2024-07-18 12:00:00,000;"18/07/2024 12:00";2024-06-20 12:32:00,000;2024-07-18 12:00:00,000;2024-07-11 11:18:00,000;"julio"
"INC2138546";"Solicitante 15";"Cerrado";"5 - Muy Baja";"Asignado 4";"21/08/2024 11:02";"30/08/2024 15:00";"23/08/2024 14:15";14460;4,02;;4,02;"ago";2024;2024-08-30 15:00:00,000;"30/08/2024 15:00";2024-08-21 11:02:00,000;2024-08-30 15:00:00,000;2024-08-23 14:15:00,000;"agosto"
"INC2170765";"Solicitante 3";"Cerrado";"5 - Muy Baja";"Asignado 2";"18/09/2024 12:18";"30/09/2024 12:00";"23/09/2024 11:03";3600;1;;1;"sept";2024;2024-09-30 12:00:00,000;"30/09/2024 12:00";2024-09-18 12:18:00,000;2024-09-30 12:00:00,000;2024-09-23 11:03:00,000;"septiembre"
"INC2182091";"Solicitante 12";"Cerrado";"2 - Alta";"Asignado 4";"27/09/2024 14:20";"08/10/2024 10:00";"01/10/2024 9:54";1860;0,52;;0,52;"oct";2024;2024-10-08 10:00:00,000;"08/10/2024 10:00";2024-09-27 14:20:00,000;2024-10-08 10:00:00,000;2024-10-01 09:54:00,000;"octubre"
"INC2186536";"Solicitante 40";"Cerrado";"2 - Alta";"Asignado 1";"04/10/2024 14:14";"14/10/2024 18:00";"07/10/2024 17:26";2820;0,78;;0,78;"oct";2024;2024-10-14 18:00:00,000;"14/10/2024 18:00";2024-10-04 14:14:00,000;2024-10-14 18:00:00,000;2024-10-07 17:26:00,000;"octubre"
"INC2252208";"Solicitante 30";"Cerrado";"5 - Muy Baja";"Asignado 5";"28/11/2024 16:17";"20/12/2024 11:00";"13/12/2024 10:04";4800;1,67;;1,67;"dic";2024;2024-12-20 11:00:00,000;"20/12/2024 11:00";2024-11-28 16:17:00,000;2024-12-20 11:00:00,000;2024-12-13 10:04:00,000;"diciembre"
"INC2270627";"Solicitante 12";"Cerrado";"5 - Muy Baja";"Asignado 2";"16/12/2024 10:27";"31/01/2025 15:00";"24/01/2025 14:11";111600;31;;31;"ene";2025;2025-01-31 15:00:00,000;"31/01/2025 15:00";2024-12-16 10:27:00,000;2025-01-31 15:00:00,000;2025-01-24 14:11:00,000;"enero"
"INC2274993";"Solicitante 8";"Cerrado";"5 - Muy Baja";"Asignado 2";"19/12/2024 17:41";"06/01/2025 10:00";"30/12/2024 9:29";1860;0,52;;0,52;"dic";2024;2025-01-06 10:00:00,000;"06/01/2025 10:00";2024-12-19 17:41:00,000;2025-01-06 10:00:00,000;2024-12-30 09:29:00,000;"enero"
"INC2277202";"Solicitante 40";"Cerrado";"5 - Muy Baja";"Asignado 3";"23/12/2024 13:18";"02/01/2025 16:00";"26/12/2024 15:47";900;0,25;;0,25;"dic";2024;2025-01-02 16:00:00,000;"02/01/2025 16:00";2024-12-23 13:18:00,000;2025-01-02 16:00:00,000;2024-12-26 15:47:00,000;"enero"
"INC2285668";"Solicitante 40";"Cerrado";"5 - Muy Baja";"Asignado 2";"07/01/2025 16:29";"26/01/2025 22:00";"19/01/2025 21:46";30600;8,5;;8,5;"ene";2025;2025-01-26 22:00:00,000;"26/01/2025 22:00";2025-01-07 16:29:00,000;2025-01-26 22:00:00,000;2025-01-19 21:46:00,000;"enero"
"INC2286504";"Solicitante 10";"Cerrado";"5 - Muy Baja";"Asignado 1";"08/01/2025 13:33";"27/01/2025 12:00";"20/01/2025 11:29";3600;1;;1;"ene";2025;2025-01-27 12:00:00,000;"27/01/2025 12:00";2025-01-08 13:33:00,000;2025-01-27 12:00:00,000;2025-01-20 11:29:00,000;"enero"
"INC2291141";"Solicitante 13";"Cerrado";"1 - Crítica";"Asignado 4";"13/01/2025 11:05";"21/01/2025 10:00";"14/01/2025 9:01";1800;0,5;;0,5;"No aplica";2025;2025-01-21 10:00:00,000;"21/01/2025 10:00";2025-01-13 11:05:00,000;2025-01-21 10:00:00,000;2025-01-14 09:01:00,000;"enero"
"INC2300076";"Solicitante 3";"Cerrado";"5 - Muy Baja";"Asignado 5";"21/01/2025 11:54";"05/02/2025 13:00";"29/01/2025 12:27";6300;1,75;;1,75;"ene";2025;2025-02-05 13:00:00,000;"05/02/2025 13:00";2025-01-21 11:54:00,000;2025-02-05 13:00:00,000;2025-01-29 12:27:00,000;"febrero"
"INC2317100";"Solicitante 2";"Cerrado";"2 - Alta";"Asignado 5";"05/02/2025 11:40";"12/02/2025 14:00";"05/02/2025 13:26";1800;0,5;;0,5;"feb";2024;2025-02-12 14:00:00,000;"12/02/2025 14:00";2025-02-05 11:40:00,000;2025-02-12 14:00:00,000;2025-02-05 13:26:00,000;"febrero"
"INC2347725";"Solicitante 8";"Cerrado";"5 - Muy Baja";"Asignado 1";"05/03/2025 10:22";"20/03/2025 10:00";"13/03/2025 9:14";21600;6;;6;"mar";2025;2025-03-20 10:00:00,000;"20/03/2025 10:00";2025-03-05 10:22:00,000;2025-03-20 10:00:00,000;2025-03-13 09:14:00,000;"marzo"
"INC2399338";"Solicitante 4";"Cerrado";"5 - Muy Baja";"Asignado 1";"25/04/2025 12:09";"07/05/2025 11:00";"30/04/2025 10:53";18000;5;;5;"may";2025;2025-05-07 11:00:00,000;"07/05/2025 11:00";2025-04-25 12:09:00,000;2025-05-07 11:00:00,000;2025-04-30 10:53:00,000;"mayo"
"INC2412228";"Solicitante 3";"Cerrado";"2 - Alta";"Asignado 3";"07/05/2025 12:35";"22/05/2025 10:00";"15/05/2025 9:15";41460;11,52;;11,52;"abr";2025;2025-05-22 10:00:00,000;"22/05/2025 10:00";2025-05-07 12:35:00,000;2025-05-22 10:00:00,000;2025-05-15 09:15:00,000;"mayo"
"INC1839736";"Solicitante 17";"Cerrado";"4 - Baja";"Asignado 1";"25/09/2023 16:22";"02/11/2023 9:00";"26/10/2023 9:25";25260;7,02;;7,02;"oct";2023;2023-11-02 09:00:00,000;"02/11/2023 9:00";2023-09-25 16:22:00,000;2023-11-02 09:00:00,000;2023-10-26 09:25:00,000;"noviembre"
"INC1842401";"Solicitante 35";"Cerrado";"4 - Baja";"Asignado 1";"28/09/2023 9:32";"11/10/2023 12:00";"04/10/2023 11:55";21600;6;;6;"oct";2023;2023-10-11 12:00:00,000;"11/10/2023 12:00";2023-09-28 09:32:00,000;2023-10-11 12:00:00,000;2023-10-04 11:55:00,000;"octubre"
"INC1843829";"Solicitante 25";"Cerrado";"4 - Baja";"Asignado 3";"29/09/2023 12:42";"09/10/2023 10:00";"02/10/2023 9:28";3660;1,02;;1,02;"oct";2023;2023-10-09 10:00:00,000;"09/10/2023 10:00";2023-09-29 12:42:00,000;2023-10-09 10:00:00,000;2023-10-02 09:28:00,000;"octubre"
"INC1849399";"Solicitante 33";"Cerrado";"4 - Baja";"Asignado 1";"05/10/2023 11:07";"17/10/2023 16:00";"10/10/2023 15:01";12601;3,5;;3,5;"oct";2023;2023-10-17 16:00:00,000;"17/10/2023 16:00";2023-10-05 11:07:00,000;2023-10-17 16:00:00,000;2023-10-10 15:01:00,000;"octubre"
"INC1859482";"Solicitante 37";"Cerrado";"4 - Baja";"Asignado 2";"19/10/2023 8:59";"16/11/2023 14:00";"09/11/2023 13:39";5400;1,5;;1,5;"nov";2023;2023-11-16 14:00:00,000;"16/11/2023 14:00";2023-10-19 08:59:00,000;2023-11-16 14:00:00,000;2023-11-09 13:39:00,000;"noviembre"
"INC1865093";"Solicitante 3";"Cerrado";"4 - Baja";"Asignado 1";"25/10/2023 17:30";"10/11/2023 14:00";"03/11/2023 13:32";14400;4;;4;"nov";2023;2023-11-10 14:00:00,000;"10/11/2023 14:00";2023-10-25 17:30:00,000;2023-11-10 14:00:00,000;2023-11-03 13:32:00,000;"noviembre"
