Número;Solicitante;Estado;Prioridad;Asignado a;Abierto;Actualizado;Resuelto;Tiempo de trabajo;Horas snow;Horas Real;Horas Trabajo;Mes;Año;Actualizado definitivo;Cerrado;Abierto definitivo;Cerrado definitivo;Resuelto definitivo;Mes definitivo desde Cerrado definitivo
"INC1932772";"Solicitante 22";"Cancelado";"5 - Muy Baja";"Asignado 5";"25/01/2024 22:39";"29/01/2024 17:10";"";600;0,17;;0,17;"ene";2024;2024-01-29 17:10:00,000;"29/01/2024 17:10";2024-01-25 22:39:00,000;2024-01-29 17:10:00,000;;"enero"
"INC1933276";"Solicitante 25";"Cancelado";"5 - Muy Baja";"Asignado 1";"26/01/2024 20:15";"29/01/2024 17:26";"";600;0,17;;0,17;"ene";2024;2024-01-29 17:26:00,000;"29/01/2024 17:26";2024-01-26 20:15:00,000;2024-01-29 17:26:00,000;;"enero"
"INC1934924";"Solicitante 28";"Cancelado";"3 - Moderada";"Asignado 2";"30/01/2024 8:22";"21/03/2024 10:33";"";10800;3;;3;"mar";2024;2024-03-21 10:33:00,000;"21/03/2024 10:33";2024-01-30 08:22:00,000;2024-03-21 10:33:00,000;;"marzo"
"INC1935233";"Solicitante 17";"Cancelado";"4 - Baja";"Asignado 2";"30/01/2024 12:31";"01/02/2024 9:51";"";900;0,25;;0,25;"feb";2024;2024-02-01 09:51:00,000;"01/02/2024 9:51";2024-01-30 12:31:00,000;2024-02-01 09:51:00,000;;"febrero"
"INC1954757";"Solicitante 1";"Cancelado";"3 - Moderada";"Asignado 5";"26/02/2024 16:35";"27/02/2024 17:39";"";14400;4;;4;"feb";2024;2024-02-27 17:39:00,000;"27/02/2024 17:39";2024-02-26 16:35:00,000;2024-02-27 17:39:00,000;;"febrero"
"INC1959893";"Solicitante 6";"Cancelado";"4 - Baja";"Asignado 4";"04/03/2024 12:09";"13/03/2024 13:08";"";10800;3;;3;"mar";2024;2024-03-13 13:08:00,000;"13/03/2024 13:08";2024-03-04 12:09:00,000;2024-03-13 13:08:00,000;;"marzo"
"INC1967632";"Solicitante 38";"Cancelado";"3 - Moderada";"Asignado 3";"11/03/2024 17:15";"12/03/2024 12:09";"";1800;0,5;;0,5;"ene";2024;2024-03-12 12:09:00,000;"12/03/2024 12:09";2024-03-11 17:15:00,000;2024-03-12 12:09:00,000;;"marzo"
"INC1982211";"Solicitante 37";"Cancelado";"3 - Moderada";"Asignado 5";"22/03/2024 10:28";"25/03/2024 10:22";"";1500;0,42;;0,42;"mar";2024;2024-03-25 10:22:00,000;"25/03/2024 10:22";2024-03-22 10:28:00,000;2024-03-25 10:22:00,000;;"marzo"
"INC1982580";"Solicitante 16";"Cancelado";"4 - Baja";"Asignado 2";"22/03/2024 18:04";"26/03/2024 10:57";"";1200;0,33;;0,33;"mar";2024;2024-03-26 10:57:00,000;"26/03/2024 10:57";2024-03-22 18:04:00,000;2024-03-26 10:57:00,000;;"marzo"
"INC1996826";"Solicitante 23";"Cancelado";"4 - Baja";"Asignado 1";"09/04/2024 20:38";"10/04/2024 16:59";"";900;0,25;;0,25;"abr";2024;2024-04-10 16:59:00,000;"10/04/2024 16:59";2024-04-09 20:38:00,000;2024-04-10 16:59:00,000;;"abril"
"INC1998936";"Solicitante 39";"Cancelado";"3 - Moderada";"Asignado 2";"11/04/2024 15:50";"19/04/2024 9:08";"";7200;2;;2;"abr";2024;2024-04-19 09:08:00,000;"19/04/2024 9:08";2024-04-11 15:50:00,000;2024-04-19 09:08:00,000;;"abril"
"INC2006119";"Solicitante 38";"Cancelado";"5 - Muy Baja";"Asignado 2";"18/04/2024 17:12";"25/04/2024 9:15";"";10800;3;;3;"abr";2024;2024-04-25 09:15:00,000;"25/04/2024 9:15";2024-04-18 17:12:00,000;2024-04-25 09:15:00,000;;"abril"
"INC2016069";"Solicitante 13";"Cancelado";"4 - Baja";"Asignado 5";"30/04/2024 8:56";"30/04/2024 16:10";"";0;0;;0;"abr";2024;2024-04-30 16:10:00,000;"30/04/2024 16:10";2024-04-30 08:56:00,000;2024-04-30 16:10:00,000;;"abril"
"INC2018005";"Solicitante 6";"Cancelado";"4 - Baja";"Asignado 5";"03/05/2024 9:27";"13/05/2024 9:10";"";10800;3;;3;"may";2024;2024-05-13 09:10:00,000;"13/05/2024 9:10";2024-05-03 09:27:00,000;2024-05-13 09:10:00,000;;"mayo"
"INC2026546";"Solicitante 39";"Cancelado";"2 - Alta";"Asignado 2";"13/05/2024 16:17";"14/05/2024 12:43";"";0;0;;0;"may";2024;2024-05-14 12:43:00,000;"14/05/2024 12:43";2024-05-13 16:17:00,000;2024-05-14 12:43:00,000;;"mayo"
"INC2027138";"Solicitante 12";"Cancelado";"5 - Muy Baja";"Asignado 5";"14/05/2024 8:49";"27/08/2024 10:27";"";3600;1;;1;"ago";2024;2024-08-27 10:27:00,000;"27/08/2024 10:27";2024-05-14 08:49:00,000;2024-08-27 10:27:00,000;;"agosto"
"INC2027402";"Solicitante 12";"Cancelado";"4 - Baja";"Asignado 5";"14/05/2024 12:35";"22/05/2024 13:52";"";0;0;;0;"may";2023;2024-05-22 13:52:00,000;"22/05/2024 13:52";2024-05-14 12:35:00,000;2024-05-22 13:52:00,000;;"mayo"
"INC2043102";"Solicitante 11";"Cancelado";"3 - Moderada";"Asignado 3";"28/05/2024 12:13";"03/06/2024 12:28";"";0;0;;0;"jun";2024;2024-06-03 12:28:00,000;"03/06/2024 12:28";2024-05-28 12:13:00,000;2024-06-03 12:28:00,000;;"junio"
"INC2044262";"Solicitante 11";"Cancelado";"2 - Alta";"Asignado 1";"29/05/2024 10:50";"29/05/2024 16:46";"";420;0,12;;0,12;"may";2024;2024-05-29 16:46:00,000;"29/05/2024 16:46";2024-05-29 10:50:00,000;2024-05-29 16:46:00,000;;"mayo"
"INC2044697";"Solicitante 2";"Cancelado";"3 - Moderada";"Asignado 2";"29/05/2024 16:56";"30/05/2024 15:29";"";900;0,25;;0,25;"may";2024;2024-05-30 15:29:00,000;"30/05/2024 15:29";2024-05-29 16:56:00,000;2024-05-30 15:29:00,000;;"mayo"
